Date,Open,High,Low,Close,Adj Close,Volume
2018/8/3,3.59,3.62,3.57,3.61,2.470997,184816985
2018/8/6,3.62,3.66,3.6,3.61,2.470997,189696153
2018/8/7,3.63,3.66,3.61,3.65,2.498377,216157642
2018/8/8,3.65,3.66,3.61,3.63,2.484688,215365540
2018/8/9,3.59,3.66,3.59,3.65,2.498377,230275455
2018/8/10,3.65,3.66,3.6,3.62,2.477842,219157328
2018/8/13,3.58,3.59,3.54,3.56,2.436773,270620120
2018/8/14,3.58,3.58,3.53,3.56,2.436773,243870383
2018/8/15,3.54,3.56,3.51,3.53,2.416239,282427652
2018/8/16,3.5,3.57,3.49,3.52,2.409394,275769630
2018/8/17,3.54,3.56,3.52,3.54,2.423083,188357023
2018/8/20,3.55,3.57,3.51,3.56,2.436773,226473564
2018/8/21,3.57,3.58,3.55,3.56,2.436773,238534835
2018/8/22,3.55,3.58,3.53,3.58,2.450463,269029064
2018/8/23,3.57,3.59,3.54,3.55,2.429928,247570379
2018/8/24,3.53,3.55,3.52,3.54,2.423083,279465912
2018/8/27,3.55,3.61,3.54,3.6,2.464153,462469493
2018/8/28,3.61,3.65,3.6,3.63,2.484688,248882773
2018/8/29,3.6,3.61,3.57,3.61,2.470997,237332367
2018/8/30,3.62,3.63,3.55,3.57,2.443618,185660963
2018/8/31,3.55,3.55,3.52,3.53,2.416239,359900115
2018/9/3,3.52,3.54,3.49,3.52,2.409394,305346975
2018/9/4,3.52,3.54,3.51,3.53,2.416239,208551797
2018/9/5,3.52,3.54,3.47,3.47,2.37517,363913474
2018/9/6,3.46,3.48,3.41,3.44,2.354635,397574154
2018/9/7,3.44,3.46,3.4,3.43,2.34779,567329432
2018/9/10,3.42,3.42,3.36,3.39,2.32041,320927280
2018/9/11,3.36,3.4,3.36,3.36,2.299876,231749076
2018/9/12,3.35,3.36,3.31,3.32,2.272496,377546352
2018/9/13,3.37,3.41,3.37,3.4,2.327255,270315440
2018/9/14,3.42,3.44,3.39,3.41,2.3341,142324690
2018/9/17,3.4,3.42,3.36,3.39,2.32041,181671619
2018/9/18,3.37,3.41,3.36,3.4,2.327255,287170628
2018/9/19,3.42,3.44,3.4,3.42,2.340945,230539211
2018/9/20,3.45,3.47,3.42,3.43,2.34779,175746914
2018/9/21,3.47,3.54,3.46,3.52,2.409394,393921372
2018/9/24,3.46,3.5,3.44,3.46,2.368325,239296460
2018/9/26,3.47,3.54,3.45,3.49,2.388859,367428100
2018/9/27,3.49,3.51,3.46,3.49,2.388859,228112298
2018/9/28,3.49,3.52,3.47,3.48,2.382014,232063346
2018/10/2,3.45,3.47,3.38,3.4,2.327255,286950375
2018/10/3,3.38,3.42,3.38,3.39,2.32041,137098156
2018/10/4,3.38,3.38,3.33,3.33,2.279341,286550800
2018/10/5,3.32,3.34,3.31,3.33,2.279341,292804313
2018/10/8,3.35,3.37,3.31,3.31,2.265651,305245178
2018/10/9,3.3,3.35,3.3,3.33,2.279341,173730676
2018/10/10,3.36,3.38,3.33,3.34,2.286186,215849513
2018/10/11,3.24,3.28,3.22,3.27,2.238272,595855447
2018/10/12,3.3,3.33,3.26,3.31,2.265651,290519307
2018/10/15,3.29,3.29,3.24,3.25,2.224582,266829437
2018/10/16,3.26,3.28,3.23,3.25,2.224582,272678220
2018/10/18,3.27,3.27,3.22,3.23,2.210892,241354726
2018/10/19,3.22,3.31,3.2,3.28,2.245117,324848738
2018/10/22,3.28,3.37,3.28,3.34,2.286186,309029852
2018/10/23,3.33,3.33,3.23,3.27,2.238272,421680917
2018/10/24,3.28,3.32,3.25,3.27,2.238272,286740826
2018/10/25,3.22,3.27,3.22,3.27,2.238272,228688814
2018/10/26,3.25,3.28,3.23,3.26,2.231427,195858287
2018/10/29,3.28,3.29,3.25,3.27,2.238272,348004378
